,instagram_likes,instagram_followers,created_at,title
115,1.0,586.0,2013-06-13T23:28:51Z,looook at what my mommy got ! my uncle will foreverrr live on (; I love and miss you #uncledavid #cocacola # r.i.p
116,16.0,424.0,2013-06-13T23:28:51Z,Nao quero nem imaginar como é viver sem você!
117,2.0,612.0,2013-06-13T23:28:50Z,"It's been too long, my love. #coke #cocacola"
118,5.0,158.0,2013-06-13T23:28:49Z,#My #Bob #Esponja #Glass #Super #Cute #I #Love #It #Yellow #CocaCola #Best #Thing #I #Bought #Ever #Nocilla #Chocolate
119,0.0,175.0,2013-06-13T23:28:48Z,"Sozinho em casa da nisso!

#lanche
#batatafrita
#cocacola
#adoroo"
120,2.0,1147.0,2013-06-13T23:28:47Z,#comparison #solo #shotcup #cocacola ft. @notneeko & @shebsthompson
121,1.0,108.0,2013-06-13T23:28:47Z,Conseguiii coleção coca-cola!!! #brasil #brasilian #instragam #instago #now #instanow #cocacola #verde #azul #amarelo #three #coleção #fanática #amo #instabrazil #life
122,0.0,199.0,2013-06-13T23:28:46Z,#much #love #fanta #cocacola #amorplatonik #latita #rojo #naranja
123,0.0,362.0,2013-06-13T23:28:45Z,Hmm #pizza #cocacola #delicias
124,12.0,424.0,2013-06-13T23:28:44Z,#inlove #coke #shoes #cocacola #look #l4l #like4like #like #likeme #young #likeforlike #follows #love #followforfollow #cute#me #nigth #nice #model #teen #instagold #instabeauty #beautiful #brazilian #brazil  #pleasefollow #sexy
125,0.0,404.0,2013-06-13T23:28:44Z,To ficando muito viciado nisso gzuuis kk #mistoquente #cocacola #behappy
126,,,2013-06-13T23:28:43Z,Finally found my name @CocaCola #CocaCola http://t.co/8ZFFHhRuCT
127,0.0,125.0,2013-06-13T23:25:53Z,{cupcake date from today} #latergram #cupcake #yum #chocolatemilkshake #hostess #sweet #dessert #chocolate #mexican #cocacola #mmm #good #date
128,0.0,9.0,2013-06-13T23:25:52Z,#pizza #cocacola #delicias #gordice :))
129,0.0,0.0,2013-06-13T23:25:51Z,#CocaCola Finally found my Name !!!!
130,0.0,252.0,2013-06-13T23:25:51Z,drinking some good ass pop #cocacola
131,0.0,73.0,2013-06-13T23:25:48Z,A coke never tasted soo good! #mybuddy #thirsty #cocacola
132,0.0,224.0,2013-06-13T23:25:46Z,#fifa13 sponsored by #cocacola sike i wish . My sick ass #trophy #1stplace #sony #ps3  and today i finally beat @abrrrrrraham . He could call me #daddy now. #awesome #happy
133,2.0,338.0,2013-06-13T23:25:43Z,#Breakfast #Restaurant #Vips #Pancakes #Coke #CocaCola #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #España #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice
134,1.0,231.0,2013-06-13T23:22:49Z,Finally found a #cocacola #with #myname ^.^ #happy in the #moment
135,6.0,338.0,2013-06-13T23:22:47Z,#Snack #IceCream #Caramel #Giangrossi #Coke #CocaCola #Mallorca #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #España #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice
136,6.0,590.0,2013-06-13T23:22:47Z,YOLOYOLOYOLOYOLO #yolo #partyfaces #cocacola #instagood #me #tbt #statigram #throwbackthursday #photooftheday #nice #follow #happy #all_shots #instamood #picoftheday #instadaily #go #instago #igers #jj_forum #instagramhub #night @merodrew1123
