"X","Unnamed..0","Unnamed..0.1","instagram_likes","instagram_comments","instagram_followers","country","title","zip","kmeans","X.cocacola","X.coke","X.love","a","X.drink","X.cola","my","i","X.me","X.instagood","the","X.followme","X.summer","X.like","X.red","X.name","X.coca","with","X.instagram","coke","X.follow","X.friends","X.happy","coca","de","X.picoftheday","to","X.share","cola","X.photooftheday","X..","and","X.my","X.food","X.tagsforlikes","me","X.instadaily","X.cool","X.instamood","la","X.fun","X.cute","this","X.girl","in.","X.with","X.like4like","X.swag","is","of","rf"
3925,3925,"3925",0,0,2,NA,"#cocacola#best#good#epic#taste",NA,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45651104209428
8163,8163,"8162",3,0,104,NA,"#cocacola #glassbottle #refresco #mediolitro #tastesbetter #lunchtime",NA,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79691873187351
3622,3622,"3622",1,0,44,NA,"ï‘çï‘çï‘ç #cocacola",NA,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994698390570615
978,978,"978",1,0,196,NA,"Photo by Hoop o'clock ï’› to all my Hoop-Ladys #hooplove #hoopplah #hoopdance #hoopgirls #hoopnotica #hulahoop #hulahoopheads #coke #cocacola #cola @high_hoops @highwasted_rollazz @hipsterhoops @hoopfurthur @hoopgirlo @hoopgirls @hoopisthippie @hoopnotica @hoopplah @hulahoopheads @hulatallulah @hulanovahoops",NA,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4151643423875
7685,7685,"7684",1,1,38,NA,"Pakeliui namuÄçioo",NA,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96066575566065
830,830,"830",0,0,61,NA,"#cocacola #jug# new #version #cool only in #wedding",NA,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.76901095359056
398,398,"398",0,0,132,NA,"#cocacola #colorida :)",NA,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983646415195276
2668,2668,"2668",0,0,101,NA,"#cocacola #vanilla #finally #in #czechrep #mnaam #kamo",NA,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74660418891545
3535,3535,"3535",1,0,129,NA,"@superhenu :* love youâ™¥ #cocacola",NA,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72241496742229
3175,3175,"3175",24,3,187,"Spain","Veraniitooo en mi. âœŒ #goodmorning #summer","28231",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1699700080199
3911,3911,"3911",2,0,17,NA,"#is very delicius#is prety#cocacola zero #this is my favorite# Ã±amÃ±am#",NA,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.89198295743128
