,instagram_likes,instagram_comments,instagram_followers,country,title,zip
98,20,0,66,Russia,#cocacola #sprite #sambuca #old #alco #spb,188355
99,1,0,187,,My baby and.mother happy bday mom love you!  #cocacola #squirt #coronas #anthonyallinlovewithice,
100,6,0,402,Slovenia,#jackdanielsÂ® #bbq #party at #kriÅ_anke with ma #boy ï’™#brother and @sasabernetic. ï˜œ #goodoldtimes #grill #steak #goodfood #drinks #wishey #friends #cheers ïç» #livelife #loveit #instafoto #barbecue #cocacola #fun,1000
101,7,0,48,,#colorful #lights #cocacola #lindo #love #food #beautiful #galaxysiii #instapic #instafood #sweet #style #lights #like #nice #vicio,
102,0,0,136,,#lipstick #gaseosa #good #fanta #cocacola #sprite #bargs,
103,4,0,46,Denmark,#share#a#coke#love#found#a#cocacola#with#my#boyfriends#name#together#with#my#friends#bf#love#soda#red#Dennis#cola#bottle#tag4likes#friend#relationship#freertime#break#food ;-),7430
104,0,0,22,,#bong#pipe#hooka#420#cocacola#followback#friends#music#wizkhalifa,
105,0,0,22,,#weed#420#cocacola#bong#pipe#hooka#followback #wizkhalifa#,
106,3,0,338,,#Dinner #Restaurant #Vips #Burger #Patatoes #CheeseBurger #Heinz #Coke #CocaCola #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #EspaÃ±a #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice,
107,8,0,238,,I'm just so cool that I'm drinking coke out of a flounder. #weird #lol #me #selfie #fish #l4l #like4like #likeforlike #cute #cocacola,
108,3,0,110,,#GYM  #Smile #Body #Look #coke #cocacola #phone #Happy #Hello #Boy #Photoftheday #picoftheday #StayStrong #Warrior #WeCantStop #like #Likeforlike #fallow #fallowback,
109,0,0,137,,Me sinto feliz agora. #CocaCola,
110,9,1,272,,#atlanta #museum #cocacola #day #me #bro #bellos #funny  #summer,
111,0,0,143,Brazil,#cocacola #vicio,64025-520
112,0,1,174,,I'm not a Coca Cola fan but this made me smile,
113,4,0,13,Russia,#cocacola #coca-cola #russia #summer #_»_µÑ‚__ #ÑƒÑ‚Ñ€__ #Ñ€__ÑÅ_°,
114,0,0,45,,#pisstake #forthecrack #xD I'm beautiful haha! XD #jokes #happy #hair #cocacola #uk,
115,1,0,586,,looook at what my mommy got ! my uncle will foreverrr live on (; I love and miss you #uncledavid #cocacola # r.i.p,
116,16,1,424,,Nao quero nem imaginar como Ã© viver sem vocÃª!,
117,2,0,612,,"It's been too long, my love. #coke #cocacola",
118,5,0,158,,#My #Bob #Esponja #Glass #Super #Cute #I #Love #It #Yellow #CocaCola #Best #Thing #I #Bought #Ever #Nocilla #Chocolate,
119,0,0,175,Brazil,"Sozinho em casa da nisso!
#lanche
#batatafrita
#cocacola
#adoroo",12061-600
120,2,0,1147,United States,#comparison #solo #shotcup #cocacola ft. @notneeko & @shebsthompson,89144
121,1,0,108,,Conseguiii coleÃ§Ã£o coca-cola!!! #brasil #brasilian #instragam #instago #now #instanow #cocacola #verde #azul #amarelo #three #coleÃ§Ã£o #fanÃ¡tica #amo #instabrazil #life,
122,0,0,199,,#much #love #fanta #cocacola #amorplatonik #latita #rojo #naranja,
123,0,0,362,Brazil,Hmm #pizza #cocacola #delicias,06210-130
124,12,0,424,,#inlove #coke #shoes #cocacola #look #l4l #like4like #like #likeme #young #likeforlike #follows #love #followforfollow #cute#me #nigth #nice #model #teen #instagold #instabeauty #beautiful #brazilian #brazil  #pleasefollow #sexy,
125,0,0,404,Brazil,To ficando muito viciado nisso gzuuis kk #mistoquente #cocacola #behappy,09910-530
126,,,,,Finally found my name @CocaCola #CocaCola http://t.co/8ZFFHhRuCT,
127,0,0,125,,{cupcake date from today} #latergram #cupcake #yum #chocolatemilkshake #hostess #sweet #dessert #chocolate #mexican #cocacola #mmm #good #date,
128,0,0,9,,#pizza #cocacola #delicias #gordice :)),
129,0,0,0,,#CocaCola Finally found my Name !!!!,
130,0,0,252,United States,drinking some good ass pop #cocacola,46544
131,0,0,73,,A coke never tasted soo good! #mybuddy #thirsty #cocacola,
132,0,0,224,,#fifa13 sponsored by #cocacola sike i wish . My sick ass #trophy #1stplace #sony #ps3  and today i finally beat @abrrrrrraham . He could call me #daddy now. #awesome #happy,
133,2,0,338,,#Breakfast #Restaurant #Vips #Pancakes #Coke #CocaCola #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #EspaÃ±a #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice,
134,1,0,231,,Finally found a #cocacola #with #myname ^.^ #happy in the #moment,
135,6,0,338,,#Snack #IceCream #Caramel #Giangrossi #Coke #CocaCola #Mallorca #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #EspaÃ±a #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice,
136,6,0,590,Hungary,YOLOYOLOYOLOYOLO #yolo #partyfaces #cocacola #instagood #me #tbt #statigram #throwbackthursday #photooftheday #nice #follow #happy #all_shots #instamood #picoftheday #instadaily #go #instago #igers #jj_forum #instagramhub #night @merodrew1123,1151
137,6,0,295,,#never #learned #to #drink #cocacola #lemonade #inside #happy #girl #smile #brunette #browneyes #sweater #love #boardingschool #instamood,
138,3,0,80,,La noche promete... #night #studing #iphone #instagram #instaphoto #don't #sleep #cocacola #redbull #read #book,
139,0,0,43,,enjoy #cocacola #ad #vintage,
140,0,0,155,,Long time no post I know ); I miss y'all </3 #sorry #back #cocacola #haribo,
141,5,0,338,,#Breakfast #Restaurant #Vips #Pancakes #Coke #CocaCola #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #EspaÃ±a #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice,
142,2,0,147,,#Picanha#paiero#skol#cocacola#garagem#amigos,
143,0,0,36,,#feiradalua #chopp #germania #cocacola #yakissoba #familia,
144,0,0,71,Spain,#cildomeireles #cocacola,28007
145,1,2,61,Spain,,39011
146,1,0,89,,#cocacola#drink#best#loveit,
147,5,0,323,United States,Drinking a cold bottle of #CocaCola for first time since beginning of the year. Been mainly drinking water and juice. #travel #airport #flying #jesus #passion #holy #spirit #youthcamp #refreshing,32218
148,0,0,469,,#cocacola #ligth,
149,3,0,5764,,#friends #walks #tired #hotday #sun #stirfry #greg #cake #cocacola #Mirrors #trampoline,
150,0,0,77,,mais uma :D agora sÃ_ falta a azul *-* hahaha #cocacola #amarela #copa,
151,3,0,33,Spain,Party hard! #party #music #dance #drinks #redbull #vodka #cola #coca #cocacola #coke #joke #fun #love #night #clubbing,28014
152,2,0,338,,#Snack #IceCream #Caramel #Giangrossi #Coke #CocaCola #Mallorca #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #EspaÃ±a #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice,
153,0,0,265,Brazil,#cocacola #me #engorda #sou #gorda ï˜›,18055-183
154,0,0,137,,Fazendo gordiceee master com ele @alanzinhuu #ht2 #cocacola #batatas #gordice #delicia #namorado,
155,,,,,Olha o que eu achei @jercivania ! #JK #CocaCola com #Sorvete ! http://t.co/uJvFST4wUv,
156,0,0,228,,"Eu juro que eu nao ia comprar nada, mas, nao resisti rs Depois do trabalho, uma passada no shopping *-* #blusa #frio #inverno #veminverno #cocacola #greve #de #trem #da #nisso kkkkkk",
157,0,0,110,,Lejos la mejor de todas #cocacola #familia #losreyes,
158,1,0,80,,#ammore #cocacola #coke #love,
159,8,2,319,,Cola Splash,
160,0,0,173,,#awesome #nearly #bestnameever #coke #cocacola #shareacokewithfriends #shareacokewithbeth #hashtag #summerdrinks #dreinkup #midnightcruise,
161,6,0,1222,,Hahaha ï˜„ï˜„ï˜„ #iphone #itagalot #instagood #instagram #instamood #iphonesia #iphoneonly #you #picoftheday #photooftheday #bestpicoftheday #l4l #like #like #love #nice #cute #cool #true #tweegram #reality #bored #funny #follow #followme #cocacola #mud,
162,4,1,124,,Instagram has such badass effects,
163,17,0,787,,#cocacola #love #instagood #me #cute #tbt #eyes #statigram #throwbackthursday #photooftheday #nice #follow #beautiful #happy #all_shots #harrystyles #girl #instamood #picoftheday #instadaily #instago #igers #jj_forum #like #followme #fashion #fun #smile #bestoftheday #iphonesia,
164,1,0,175,,#friends#cocacola#superstar#chill,
165,2,0,268,,Ta Facil nÃ£o ! #Fome #bigtasty #Fritas #CocaCola #Sozinho,
166,0,1,80,,"Yakisoba, coca cola e filminho. Ã“tima maneira de se encerrar uma quinta feira! ;)",
167,,,,,finding a coke bottle with my name on #finally hehe thanks #cocacola. http://t.co/5HeliRQ2Ko,
168,0,0,126,,#party #redlabel #whisky #cocacola #play,
169,6,1,54,,,
170,8,0,243,,#cinema #fastandfurious #6 #girl #me #cocacola #cute #face #smile #fashion #good #lovely #picture #saturday #night,
171,9,0,104,,#delicious #food #hamburguer #frenchfries #cocacola #fat #funny #fun #follow4follow #followme #good #goodnight #happy #happines #instalike #instacool #insafollow #instagood #likeforlike #likeme #love #my #night #picoftheday #paradise #pic4you #photo #s2,
172,1,0,1372,,A favorite corner of my room! #vintage #coke #cocacola #books #oldbooks #posters #shelves #table #lamp #nicknacks #room #messy,
173,0,0,83,United States,#CocaCola #thirsty free drink. #instacola #aluminum #isnapdaily #iphone4s #iphonography,30344
174,0,0,97,,My day >>>>> #drinking #polarpop #cocacola #admiralnelson #trampoline #listeningtopandora #ohyeah,
175,0,0,131,,ÙˆÙ_Ø_Ù„Ù‰ Ø§Ù„Ø_Ù‡Ø±  #CocaCola #cherry #Yummy #Take_break_myself,
176,2,0,204,,"Coca reparadora en el trabajo!! "" #cocacola #refresco #cola #sed #telcel #telceleslared #trabajo #comida #food #happy #love #job",
177,11,0,604,,taking a swim all by myself ï™çï‘™ïè_ #summer2k13 #swimming #relaxing #hotweather #arizonaheat #cocacola #topnot,
178,1,0,31,Brazil,#cocacola#night#goodnigth#happy#bye.,72215-011
179,0,0,387,Italy,Spuntini di ïç¯ #cocacola #spuntinodimezzanotte #sensiblerie #midnightsnack #brufoli,20095
180,4,0,953,,"Love ?? #instahood #instacollage #instadaily #instago #instalike #instaphoto #turk #turkish #almanya #followme #frankfurt #frankfurtammain #ffm 
#girl #throwback #photooftheday #tagsforlikes #tbt 
#cocacola #cola #love #summer #dinner",
181,0,0,345,,#shareacokewith #coke #cocacola #veera #starplus #veerkiardasveera #LOL #instamood,
182,3,0,148,Brazil,"Tiupar, social. 
#social #party #coke #cocacola #love #photooftheday #look #like #iphoneonly #instagood #instago #colorful #style #swag",25036-390
183,0,0,255,,#fikk#gave#av#bjÃ¸rnar#kjekken#cocacola#agderposten,
184,1,0,113,,#i #get #this #bottle #of #CocaCola #from #my #handsome #schoolmate @aljazjager #before #movie #cinema #HelloKitty #haha #followme #maÄçka #cat #meow #mjaw,
185,0,0,867,Italy,#cocacola #cocofashionblogger,20145
186,22,1,1672,,Coca cola â€¢open happinessâ€¢ ï’‹#cantwink #retarded #happiness #cocacola,
187,0,0,77,United Kingdom,Not sure if this is a name or another brand of coke? #stoneczko #cola #cocacola  #wtf #confused,CF37 1
188,1,0,37,,Cola... #cocacola,
189,20,1,87,,#cocacola #and #some #american #candy,
190,0,0,95,United Kingdom,"Earlier I found my mum, nan and aunties name all next to each other on the shelf! #spooky #fate #cocacola #shareacoke #family",DN31 3
191,2,2,97,,Share a coke with a Friend ï_ˆï__âˆ‡ï__ï_‰,
192,2,1,762,,Miam,
193,1,0,27,,#HDR #effect #flowers #dog #picture #cocacola #decoration #bottles,
194,1,0,34,Ukraine,#jajda #zamuuchila #coffe #coldcoffe#cocktail #cocacola #burn #energizer #coldlatte #latte #drink #summer #sun #air #green #yalta #alushta #energydrink,
195,3,0,621,Italy,Pane arabo...ï˜‹ #questesonogioie #cocacola #panearabo #crudo #pomodori #insalata #pizza #casamatta #firenze #instafirenze #instaitalia #instapizza #instaeat #igersfirenze @igers_firenze @igersfirenze #instatoscana #instalike,50136
