,instagram_likes,instagram_comments,instagram_followers,country,title,zip
124,12.0,0.0,424.0,,#inlove #coke #shoes #cocacola #look #l4l #like4like #like #likeme #young #likeforlike #follows #love #followforfollow #cute#me #nigth #nice #model #teen #instagold #instabeauty #beautiful #brazilian #brazil  #pleasefollow #sexy,
125,0.0,0.0,404.0,Brazil,To ficando muito viciado nisso gzuuis kk #mistoquente #cocacola #behappy,09910-530
126,,,,,Finally found my name @CocaCola #CocaCola http://t.co/8ZFFHhRuCT,
127,0.0,0.0,125.0,,{cupcake date from today} #latergram #cupcake #yum #chocolatemilkshake #hostess #sweet #dessert #chocolate #mexican #cocacola #mmm #good #date,
128,0.0,0.0,9.0,,#pizza #cocacola #delicias #gordice :)),
129,0.0,0.0,0.0,,#CocaCola Finally found my Name !!!!,
130,0.0,0.0,252.0,United States,drinking some good ass pop #cocacola,46544
131,0.0,0.0,73.0,,A coke never tasted soo good! #mybuddy #thirsty #cocacola,
132,0.0,0.0,224.0,,#fifa13 sponsored by #cocacola sike i wish . My sick ass #trophy #1stplace #sony #ps3  and today i finally beat @abrrrrrraham . He could call me #daddy now. #awesome #happy,
133,2.0,0.0,338.0,,#Breakfast #Restaurant #Vips #Pancakes #Coke #CocaCola #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #España #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice,
134,1.0,0.0,231.0,,Finally found a #cocacola #with #myname ^.^ #happy in the #moment,
135,6.0,0.0,338.0,,#Snack #IceCream #Caramel #Giangrossi #Coke #CocaCola #Mallorca #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #España #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice,
136,6.0,0.0,590.0,Hungary,YOLOYOLOYOLOYOLO #yolo #partyfaces #cocacola #instagood #me #tbt #statigram #throwbackthursday #photooftheday #nice #follow #happy #all_shots #instamood #picoftheday #instadaily #go #instago #igers #jj_forum #instagramhub #night @merodrew1123,1151
137,6.0,0.0,295.0,,#never #learned #to #drink #cocacola #lemonade #inside #happy #girl #smile #brunette #browneyes #sweater #love #boardingschool #instamood,
138,3.0,0.0,80.0,,La noche promete... #night #studing #iphone #instagram #instaphoto #don't #sleep #cocacola #redbull #read #book,
139,0.0,0.0,43.0,,enjoy #cocacola #ad #vintage,
140,0.0,0.0,155.0,,Long time no post I know ); I miss y'all </3 #sorry #back #cocacola #haribo,
141,5.0,0.0,338.0,,#Breakfast #Restaurant #Vips #Pancakes #Coke #CocaCola #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #España #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice,
142,2.0,0.0,147.0,,#Picanha#paiero#skol#cocacola#garagem#amigos,
143,0.0,0.0,36.0,,#feiradalua #chopp #germania #cocacola #yakissoba #familia,
144,0.0,0.0,71.0,Spain,#cildomeireles #cocacola,28007
145,1.0,2.0,61.0,Spain,,39011
146,1.0,0.0,89.0,,#cocacola#drink#best#loveit,
147,5.0,0.0,323.0,United States,Drinking a cold bottle of #CocaCola for first time since beginning of the year. Been mainly drinking water and juice. #travel #airport #flying #jesus #passion #holy #spirit #youthcamp #refreshing,32218
148,0.0,0.0,469.0,,#cocacola #ligth,
149,3.0,0.0,5764.0,,#friends #walks #tired #hotday #sun #stirfry #greg #cake #cocacola #Mirrors #trampoline,
150,0.0,0.0,77.0,,mais uma :D agora só falta a azul *-* hahaha #cocacola #amarela #copa,
151,3.0,0.0,33.0,Spain,Party hard! #party #music #dance #drinks #redbull #vodka #cola #coca #cocacola #coke #joke #fun #love #night #clubbing,28014
152,2.0,0.0,338.0,,#Snack #IceCream #Caramel #Giangrossi #Coke #CocaCola #Mallorca #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #España #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice,
153,0.0,0.0,265.0,Brazil,#cocacola #me #engorda #sou #gorda ,18055-183
154,0.0,0.0,137.0,,Fazendo gordiceee master com ele @alanzinhuu #ht2 #cocacola #batatas #gordice #delicia #namorado,
155,,,,,Olha o que eu achei @jercivania ! #JK #CocaCola com #Sorvete ! http://t.co/uJvFST4wUv,
156,0.0,0.0,228.0,,"Eu juro que eu nao ia comprar nada, mas, nao resisti rs Depois do trabalho, uma passada no shopping *-* #blusa #frio #inverno #veminverno #cocacola #greve #de #trem #da #nisso kkkkkk",
157,0.0,0.0,110.0,,Lejos la mejor de todas #cocacola #familia #losreyes,
158,1.0,0.0,80.0,,#ammore #cocacola #coke #love,
159,8.0,2.0,319.0,,Cola Splash,
160,0.0,0.0,173.0,,#awesome #nearly #bestnameever #coke #cocacola #shareacokewithfriends #shareacokewithbeth #hashtag #summerdrinks #dreinkup #midnightcruise,
161,6.0,0.0,1222.0,,Hahaha  #iphone #itagalot #instagood #instagram #instamood #iphonesia #iphoneonly #you #picoftheday #photooftheday #bestpicoftheday #l4l #like #like #love #nice #cute #cool #true #tweegram #reality #bored #funny #follow #followme #cocacola #mud,
162,4.0,1.0,124.0,,Instagram has such badass effects,
163,17.0,0.0,787.0,,#cocacola #love #instagood #me #cute #tbt #eyes #statigram #throwbackthursday #photooftheday #nice #follow #beautiful #happy #all_shots #harrystyles #girl #instamood #picoftheday #instadaily #instago #igers #jj_forum #like #followme #fashion #fun #smile #bestoftheday #iphonesia,
164,1.0,0.0,175.0,,#friends#cocacola#superstar#chill,
165,2.0,0.0,268.0,,Ta Facil não ! #Fome #bigtasty #Fritas #CocaCola #Sozinho,
166,0.0,1.0,80.0,,"Yakisoba, coca cola e filminho. Ótima maneira de se encerrar uma quinta feira! ;)",
167,,,,,finding a coke bottle with my name on #finally hehe thanks #cocacola. http://t.co/5HeliRQ2Ko,
168,0.0,0.0,126.0,,#party #redlabel #whisky #cocacola #play,
169,6.0,1.0,54.0,,,
170,8.0,0.0,243.0,,#cinema #fastandfurious #6 #girl #me #cocacola #cute #face #smile #fashion #good #lovely #picture #saturday #night,
171,9.0,0.0,104.0,,#delicious #food #hamburguer #frenchfries #cocacola #fat #funny #fun #follow4follow #followme #good #goodnight #happy #happines #instalike #instacool #insafollow #instagood #likeforlike #likeme #love #my #night #picoftheday #paradise #pic4you #photo #s2,
172,1.0,0.0,1372.0,,A favorite corner of my room! #vintage #coke #cocacola #books #oldbooks #posters #shelves #table #lamp #nicknacks #room #messy,
173,0.0,0.0,83.0,United States,#CocaCola #thirsty free drink. #instacola #aluminum #isnapdaily #iphone4s #iphonography,30344
174,0.0,0.0,97.0,,My day >>>>> #drinking #polarpop #cocacola #admiralnelson #trampoline #listeningtopandora #ohyeah,
175,0.0,0.0,131.0,,ويحلى السهر  #CocaCola #cherry #Yummy #Take_break_myself,
176,2.0,0.0,204.0,,"Coca reparadora en el trabajo!! "" #cocacola #refresco #cola #sed #telcel #telceleslared #trabajo #comida #food #happy #love #job",
177,11.0,0.0,604.0,,taking a swim all by myself  #summer2k13 #swimming #relaxing #hotweather #arizonaheat #cocacola #topnot,
178,1.0,0.0,31.0,Brazil,#cocacola#night#goodnigth#happy#bye.,72215-011
179,0.0,0.0,387.0,Italy,Spuntini di  #cocacola #spuntinodimezzanotte #sensiblerie #midnightsnack #brufoli,20095
180,4.0,0.0,953.0,,"Love ?? #instahood #instacollage #instadaily #instago #instalike #instaphoto #turk #turkish #almanya #followme #frankfurt #frankfurtammain #ffm 
#girl #throwback #photooftheday #tagsforlikes #tbt 
#cocacola #cola #love #summer #dinner",
181,0.0,0.0,345.0,,#shareacokewith #coke #cocacola #veera #starplus #veerkiardasveera #LOL #instamood,
